item_id,name,type,description
fox-sparrow,"Fox Sparrow",,species,,""
gadwall,"Gadwall",,species,,""
glossy-ibis,"Glossy Ibis",,species,,""
grasshopper-sparrow,"Grasshopper Sparrow",,species,,""
gray-cheeked-thrush,"Gray-cheeked Thrush",,species,,""
great-black-backed-gull,"Great Black-backed Gull",,species,,""
great-crested-flycatcher,"Great Crested Flycatcher",,species,,""
great-egret,"Great Egret",,species,,""
greater-scaup,"Greater Scaup",,species,,""
greater-yellowlegs,"Greater Yellowlegs",,species,,""
green-heron,"Green Heron",,species,,""
green-winged-teal,"Green-winged Teal",,species,,""
gull-billed-tern,"Gull-billed Tern",,species,,""
hairy-woodpecker,"Hairy Woodpecker",,species,,""
hooded-merganser,"Hooded Merganser",,species,,""
horned-grebe,"Horned Grebe",,species,,""
house-wren,"House Wren",,species,,""
killdeer,"Killdeer",,species,,""
kirtland's-warbler,"Kirtland's Warbler",,species,,""
laughing-gull,"Laughing Gull",,species,,""
least-flycatcher,"Least Flycatcher",,species,,""
leconte's-sparrow,"LeConte's Sparrow",,species,,""
loggerhead-shrike,"Loggerhead Shrike",,species,,""
long-tailed-duck,"Long-tailed Duck",,species,,""
louisiana-waterthrush,"Louisiana Waterthrush",,species,,""
magnolia-warbler,"Magnolia Warbler",,species,,""
marbled-godwit,"Marbled Godwit",,species,,""
american-oystercatcher,"American Oystercatcher",,species,,""
american-goldfinch,"American Goldfinch",,species,,""
american-bittern,"American Bittern",,species,,""
american-coot,"American Coot",,species,,""
american-crow,"American Crow",,species,,""
american-kestrel,"American Kestrel",,species,,""
anhinga,"Anhinga",,species,,""
bachman's-warbler,"Bachman's Warbler",,species,,""
bank-swallow,"Bank Swallow",,species,,""
barn-owl,"Barn Owl",,species,,""
barn-swallow,"Barn Swallow",,species,,""
barred-owl,"Barred Owl",,species,,""
bay-breasted-warbler,"Bay-breasted Warbler",,species,,""
black-and-white-warbler,"Black-and-white Warbler",,species,,""
blackburnian-warbler,"Blackburnian Warbler",,species,,""
black-necked-stilt,"Black-necked Stilt",,species,,""
black-rail,"Black Rail",,species,,""
black-throated-green-warbler,"Black-throated Green Warbler",,species,,""
black-vulture,"Black Vulture",,species,,""
blue-headed-vireo,"Blue-headed Vireo",,species,,""
blue-winged-teal,"Blue-winged Teal",,species,,""
blue-winged-warbler,"Blue-winged Warbler",,species,,""
red-eyed-vireo,"Red-eyed Vireo",,species,,""
redhead,"Redhead",,species,,""
red-headed-woodpecker,"Red-headed Woodpecker",,species,,""
red-knot,"Red Knot",,species,,""
red-necked-phalarope,"Red-necked Phalarope",,species,,""
red-throated-loon,"Red-throated Loon",,species,,""
ring-billed-gull,"Ring-billed Gull",,species,,""
ring-necked-duck,"Ring-necked Duck",,species,,""
rock-pigeon,"Rock Pigeon",,species,,""
rose-breasted-grosbeak,"Rose-breasted Grosbeak",,species,,""
ruddy-turnstone,"Ruddy Turnstone",,species,,""
ruffed-grouse,"Ruffed Grouse",,species,,""
rusty-blackbird,"Rusty Blackbird",,species,,""
saltmarsh-sparrow,"Saltmarsh Sparrow",,species,,""
sandwich-tern,"Sandwich Tern",,species,,""
savannah-sparrow,"Savannah Sparrow",,species,,""
scarlet-tanager,"Scarlet Tanager",,species,,""
short-billed-dowitcher,"Short-billed Dowitcher",,species,,""
snowy-egret,"Snowy Egret",,species,,""
song-sparrow,"Song Sparrow",,species,,""
spotted-sandpiper,"Spotted Sandpiper",,species,,""
swainson's-thrush,"Swainson's Thrush",,species,,""
swainson's-warbler,"Swainson's Warbler",,species,,""
swallow-tailed-kite,"Swallow-tailed Kite",,species,,""
tennessee-warbler,"Tennessee Warbler",,species,,""
tree-swallow,"Tree Swallow",,species,,""
tricolored-heron,"Tricolored Heron",,species,,""
turkey-vulture,"Turkey Vulture",,species,,""
veery,"Veery",,species,,""
vesper-sparrow,"Vesper Sparrow",,species,,""
warbling-vireo,"Warbling Vireo",,species,,""
whimbrel,"Whimbrel",,species,,""
white-ibis,"White Ibis",,species,,""
wild-turkey,"Wild Turkey",,species,,""
willet,"Willet",,species,,""
wood-duck,"Wood Duck",,species,,""
yellow-bellied-sapsucker,"Yellow-bellied Sapsucker",,species,,""
yellow-breasted-chat,"Yellow-breasted Chat",,species,,""
yellow-crowned-night-heron,"Yellow-crowned Night-Heron",,species,,""
yellow-rail,"Yellow Rail",,species,,""
brant,"Brant",,species,,""
broad-winged-hawk,"Broad-winged Hawk",,species,,""
brown-creeper,"Brown Creeper",,species,,""
brown-headed-cowbird,"Brown-headed Cowbird",,species,,""
brown-headed-nuthatch,"Brown-headed Nuthatch",,species,,""
brown-pelican,"Brown Pelican",,species,,""
canada-goose,"Canada Goose",,species,,""
caspian-tern,"Caspian Tern",,species,,""
cattle-egret,"Cattle Egret",,species,,""
cedar-waxwing,"Cedar Waxwing",,species,,""
cerulean-warbler,"Cerulean Warbler",,species,,""
chestnut-sided-warbler,"Chestnut-sided Warbler",,species,,""
chuck-will's-widow,"Chuck-will's-widow",,species,,""
clapper-rail,"Clapper Rail",,species,,""
clay-colored-sparrow,"Clay-colored Sparrow",,species,,""
cliff-swallow,"Cliff Swallow",,species,,""
common-goldeneye,"Common Goldeneye",,species,,""
