item_id,category
great-black-backed-gull,NC SGCN
great-black-backed-gull,Species
great-crested-flycatcher,Bird
great-crested-flycatcher,Species
great-egret,Bird
great-egret,NC Management Concern
great-egret,Species
greater-scaup,Bird
greater-scaup,NC Management Concern
greater-scaup,Species
greater-yellowlegs,Bird
greater-yellowlegs,NC Knowledge Concern
greater-yellowlegs,Species
green-heron,Bird
green-heron,NC Knowledge Concern
green-heron,Species
green-winged-teal,Bird
green-winged-teal,NC Management Concern
green-winged-teal,Species
gull-billed-tern,Bird
gull-billed-tern,NC SGCN
gull-billed-tern,Species
hairy-woodpecker,Bird
hairy-woodpecker,Species
hooded-merganser,Bird
hooded-merganser,NC Management Concern
hooded-merganser,Species
horned-grebe,Bird
horned-grebe,NC Knowledge Concern
horned-grebe,Species
house-wren,Bird
house-wren,Species
killdeer,Bird
killdeer,Species
kirtland's-warbler,Bird
kirtland's-warbler,Species
laughing-gull,Bird
laughing-gull,Species
least-flycatcher,Bird
least-flycatcher,NC Knowledge Concern
least-flycatcher,Species
leconte's-sparrow,Bird
leconte's-sparrow,NC Knowledge Concern
leconte's-sparrow,NC SGCN
leconte's-sparrow,Species
loggerhead-shrike,Bird
loggerhead-shrike,NC Knowledge Concern
loggerhead-shrike,NC SGCN
loggerhead-shrike,Species
long-tailed-duck,Bird
long-tailed-duck,NC Management Concern
long-tailed-duck,NC SGCN
long-tailed-duck,Species
louisiana-waterthrush,Bird
louisiana-waterthrush,NC SGCN
louisiana-waterthrush,Species
magnolia-warbler,Bird
magnolia-warbler,NC Knowledge Concern
magnolia-warbler,Species
marbled-godwit,Bird
marbled-godwit,NC Knowledge Concern
marbled-godwit,NC Management Concern
marbled-godwit,NC SGCN
marbled-godwit,Species
american-oystercatcher,Species
american-oystercatcher,Bird
american-oystercatcher,Charadriiformes
american-oystercatcher,Haematopodidae
american-oystercatcher,NC SGCN
american-oystercatcher,NC Management Concern
american-goldfinch,Species
american-goldfinch,Bird
american-goldfinch,Passeriformes
american-goldfinch,Fringillidae
american-bittern,Species
american-bittern,Bird
american-bittern,Pelecaniformes
american-bittern,Ardeidae
american-bittern,NC SGCN
